local,corte,gen,block,peso
AC,1,PM30,1,943.7709766245669
AC,1,PM31,1,1887.689036197536
AC,1,PM32,1,1440.9113592114993
AC,1,PM33,1,1705.6105312542477
AC,1,MOMB,1,1988.6289890402427
AC,1,PM34,1,1769.3855288430457
AC,1,PM35,1,1181.3676222418221
AC,1,PM36,1,1703.0999059313776
AC,1,PM37,1,1273.540434964357
AC,1,TANZ,1,2044.7769053714278
AC,1,PM38,1,1157.1181856041026
AC,1,PM39,1,1443.1141006269918
AC,1,PM40,1,2800.424953000092
AC,1,PM41,1,2296.308487069403
AC,1,MASS,1,1509.5819889561262
AC,1,PM42,1,1348.8827199825441
AC,1,PM43,1,892.4709224948913
AC,1,PM44,1,1104.25891279893
AC,1,PM45,1,1920.758544048961
AC,1,MILE,1,1369.558913336621
AC,1,PM46,1,1816.0641539184624
AC,1,PM47,1,2052.9564721036118
AC,1,ARUA,1,601.896921005546
AC,1,PM39,2,2322.6615610925755
AC,1,PM33,2,2012.7803044992497
AC,1,PM41,2,2804.3776340401023
AC,1,PM37,2,1356.2430155267443
AC,1,PM45,2,1714.786309097758
AC,1,PM36,2,1775.738778463806
AC,1,MOMB,2,1987.6388620034684
AC,1,PM31,2,1484.9254272819733
AC,1,PM47,2,1504.6164958158815
AC,1,PM43,2,789.3665115418122
AC,1,PM35,2,1658.8704684100658
AC,1,PM30,2,802.7774262232335
AC,1,PM42,2,1460.1497689279897
AC,1,PM38,2,1279.9948790900894
AC,1,PM46,2,1735.385455613569
AC,1,TANZ,2,2354.2045859526447
AC,1,PM44,2,2145.991014456131
AC,1,PM40,2,2887.814404503344
AC,1,PM32,2,2206.651856477618
AC,1,PM34,2,1923.972365256094
AC,1,MILE,2,1452.1334157258714
AC,1,MASS,2,1884.8294166491928
AC,1,ARUA,2,993.5902772506037
AC,1,PM39,3,1019.7287822260447
AC,1,PM35,3,1305.7402472404751
AC,1,PM30,3,861.1574825826806
AC,1,PM44,3,1313.9355039905502
AC,1,PM36,3,1705.110884818506
AC,1,PM31,3,1910.153634418034
AC,1,PM47,3,2163.4997960142405
AC,1,PM43,3,1472.3472555679298
AC,1,PM38,3,799.5210274304861
AC,1,PM40,3,1435.3499995322968
AC,1,MASS,3,1111.6932627921635
AC,1,PM46,3,1208.8781129678894
AC,1,TANZ,3,2182.2020983059547
AC,1,MILE,3,937.9553273567941
AC,1,PM45,3,1702.1274411098182
AC,1,PM32,3,1803.6644998267525
AC,1,PM37,3,1274.7826953092524
AC,1,PM42,3,1693.9111625815715
AC,1,PM33,3,1843.3287339291962
AC,1,MOMB,3,2065.2280958280094
AC,1,PM34,3,1097.6646813329355
AC,1,PM41,3,3441.5251421188736
AC,1,ARUA,3,1262.3675960488672
AC,2,PM30,1,884.6620845900563
AC,2,PM31,1,1055.1256097965688
AC,2,PM32,1,1181.3066280846042
AC,2,PM33,1,1028.6285803646026
AC,2,MOMB,1,1079.1696208166902
AC,2,PM34,1,591.4297209171874
AC,2,PM35,1,663.7950413223139
AC,2,PM36,1,1125.7050646358093
AC,2,PM37,1,806.3786993582987
AC,2,TANZ,1,801.968321608896
AC,2,PM38,1,648.985112127803
AC,2,PM39,1,630.6635244133168
AC,2,PM40,1,974.0200958643886
AC,2,PM41,1,1459.5839823141168
AC,2,MASS,1,845.7472620860947
AC,2,PM42,1,696.2219094289767
AC,2,PM43,1,559.2553627818916
AC,2,PM44,1,975.3863577114782
AC,2,PM45,1,927.941271170069
AC,2,MILE,1,1028.723023017351
AC,2,PM46,1,827.546193192184
AC,2,PM47,1,996.5047999266222
AC,2,ARUA,1,327.74106694121724
AC,2,PM39,2,1107.6885171830859
AC,2,PM33,2,935.8722071856922
AC,2,PM41,2,1746.5545528201803
AC,2,PM37,2,1014.0575716325243
AC,2,PM45,2,1043.015461130933
AC,2,PM36,2,715.5354008207003
AC,2,MOMB,2,853.8537985872294
AC,2,PM31,2,1197.0023186485591
AC,2,PM47,2,929.2851121370675
AC,2,PM43,2,669.3511605492496
AC,2,PM35,2,838.2374839277659
AC,2,PM30,2,747.4636231506565
AC,2,PM42,2,1064.1118830325643
AC,2,PM38,2,705.1090076292847
AC,2,PM46,2,974.8727000084931
AC,2,TANZ,2,1340.8541773642864
AC,2,PM44,2,1069.659712631679
AC,2,PM40,2,1270.4198564575581
AC,2,PM32,2,1344.9359002998283
AC,2,PM34,2,666.6655744508885
AC,2,MILE,2,861.3785964686435
AC,2,MASS,2,1186.7888714185742
AC,2,ARUA,2,583.7708320715815
AC,2,PM39,3,1204.9808429118775
AC,2,PM35,3,793.4558891023157
AC,2,PM30,3,497.5830717768435
AC,2,PM44,3,976.3442402279262
AC,2,PM36,3,918.67727365653775
AC,2,PM31,3,1047.0881427072404
AC,2,PM47,3,948.0223978518427
AC,2,PM43,3,689.5795062212376
AC,2,PM38,3,735.9553198068783
AC,2,PM40,3,688.1060330277658
AC,2,MASS,3,938.9078868805299
AC,2,PM46,3,550.0649427323178
AC,2,TANZ,3,796.0799715156586
AC,2,MILE,3,827.6419483751063
AC,2,PM45,3,792.8233396361461
AC,2,PM32,3,1177.477588339135
AC,2,PM37,3,867.935476886435
AC,2,PM42,3,837.8956117947027
AC,2,PM33,3,773.1394012095766
AC,2,MOMB,3,884.4612650754566
AC,2,PM34,3,341.1058566751546
AC,2,PM41,3,1800.1105172347693
AC,2,ARUA,3,439.9432106455091
AC,3,PM30,1,776.7325230821808
AC,3,PM31,1,968.6260687784591
AC,3,PM32,1,1055.6536235140954
AC,3,PM33,1,931.2368535329075
AC,3,MOMB,1,1434.925533158381
AC,3,PM34,1,848.5368188756604
AC,3,PM35,1,566.6712048112905
AC,3,PM36,1,1006.3635026070514
AC,3,PM37,1,971.1302047475026
AC,3,TANZ,1,932.1329010775336
AC,3,PM38,1,922.0964712764927
AC,3,PM39,1,872.7568514530524
AC,3,PM40,1,1022.5542008184373
AC,3,PM41,1,1789.433387822385
AC,3,MASS,1,981.8216936651905
AC,3,PM42,1,1058.008515015129
AC,3,PM43,1,871.3740085418507
AC,3,PM44,1,1022.647472658895
AC,3,PM45,1,980.095431341854
AC,3,MILE,1,1391.4346056274971
AC,3,PM46,1,1028.3981840992963
AC,3,PM47,1,1360.7732192034869
AC,3,ARUA,1,483.39589392521157
AC,3,PM39,2,871.6157705534421
AC,3,PM33,2,896.2890125589572
AC,3,PM41,2,1924.3566676331297
AC,3,PM37,2,1121.0512135620538
AC,3,PM45,2,1063.542000009939
AC,3,PM36,2,922.2254890469247
AC,3,MOMB,2,1079.447812800293
AC,3,PM31,2,1077.163157910849
AC,3,PM47,2,1083.6985499964917
AC,3,PM43,2,877.6969757157455
AC,3,PM35,2,974.0877163214104
AC,3,PM30,2,1538.2788009384597
AC,3,PM42,2,1426.7966981414463
AC,3,PM38,2,1300.4402606265944
AC,3,PM46,2,1133.122247241063
AC,3,TANZ,2,1115.333679687138
AC,3,PM44,2,1088.9650215831432
AC,3,PM40,2,1123.9263563316424
AC,3,PM32,2,1160.1909559597705
AC,3,PM34,2,1004.2768897044209
AC,3,MILE,2,935.2923689743111
AC,3,MASS,2,1291.9456371512545
AC,3,ARUA,2,787.2133136366742
AC,3,PM39,3,573.3656436771945
AC,3,PM35,3,569.817807651729
AC,3,PM30,3,873.2618424901974
AC,3,PM44,3,1029.6199053007822
AC,3,PM36,3,949.3982041648092
AC,3,PM31,3,1025.5551930396955
AC,3,PM47,3,1120.1945451654774
AC,3,PM43,3,975.0584348500216
AC,3,PM38,3,623.4218723777905
AC,3,PM40,3,560.0406765146649
AC,3,MASS,3,1197.4072394281025
AC,3,PM46,3,746.6103534691965
AC,3,TANZ,3,1010.7591948843398
AC,3,MILE,3,1234.5839463645927
AC,3,PM45,3,922.3329456267749
