local,gen,block,peso,corte
AC,PM30,1,943.7709766245669,1
AC,PM31,1,1887.689036197536,1
AC,PM32,1,1440.9113592114993,1
AC,PM33,1,1705.6105312542477,1
AC,MOMB,1,1988.6289890402427,1
AC,PM34,1,1769.3855288430457,1
AC,PM35,1,1181.3676222418221,1
AC,PM36,1,1703.0999059313776,1
AC,PM37,1,1273.540434964357,1
AC,TANZ,1,2044.7769053714278,1
AC,PM38,1,1157.1181856041026,1
AC,PM39,1,1443.1141006269918,1
AC,PM40,1,2800.424953000092,1
AC,PM41,1,2296.308487069403,1
AC,MASS,1,1509.5819889561262,1
AC,PM42,1,1348.8827199825441,1
AC,PM43,1,892.4709224948913,1
AC,PM44,1,1104.25891279893,1
AC,PM45,1,1920.758544048961,1
AC,MILE,1,1369.558913336621,1
AC,PM46,1,1816.0641539184624,1
AC,PM47,1,2052.9564721036118,1
AC,ARUA,1,601.896921005546,1
AC,PM39,2,2322.6615610925755,1
AC,PM33,2,2012.7803044992497,1
AC,PM41,2,2804.3776340401023,1
AC,PM37,2,1356.2430155267443,1
AC,PM45,2,1714.786309097758,1
AC,PM36,2,1775.738778463806,1
AC,MOMB,2,1987.6388620034684,1
AC,PM31,2,1484.9254272819733,1
AC,PM47,2,1504.6164958158815,1
AC,PM43,2,789.3665115418122,1
AC,PM35,2,1658.8704684100658,1
AC,PM30,2,802.7774262232335,1
AC,PM42,2,1460.1497689279897,1
AC,PM38,2,1279.9948790900894,1
AC,PM46,2,1735.385455613569,1
AC,TANZ,2,2354.2045859526447,1
AC,PM44,2,2145.991014456131,1
AC,PM40,2,2887.814404503344,1
AC,PM32,2,2206.651856477618,1
AC,PM34,2,1923.972365256094,1
AC,MILE,2,1452.1334157258714,1
AC,MASS,2,1884.8294166491928,1
AC,ARUA,2,993.5902772506037,1
AC,PM39,3,1019.7287822260447,1
AC,PM35,3,1305.7402472404751,1
AC,PM30,3,861.1574825826806,1
AC,PM44,3,1313.9355039905502,1
AC,PM36,3,1705.110884818506,1
AC,PM31,3,1910.153634418034,1
AC,PM47,3,2163.4997960142405,1
AC,PM43,3,1472.3472555679298,1
AC,PM38,3,799.5210274304861,1
AC,PM40,3,1435.3499995322968,1
AC,MASS,3,1111.6932627921635,1
AC,PM46,3,1208.8781129678894,1
AC,TANZ,3,2182.2020983059547,1
AC,MILE,3,937.9553273567941,1
AC,PM45,3,1702.1274411098182,1
AC,PM32,3,1803.6644998267525,1
AC,PM37,3,1274.7826953092524,1
