"","local","corte","gen","block","peso"
"1","AC","1","PM30","1",943.770976624567
"2","AC","1","PM31","1",1887.68903619754
"3","AC","1","PM32","1",1440.9113592115
"4","AC","1","PM33","1",1705.61053125425
"5","AC","1","MOMB","1",1988.62898904024
"6","AC","1","PM34","1",1769.38552884305
"7","AC","1","PM35","1",1181.36762224182
"8","AC","1","PM36","1",1703.09990593138
"9","AC","1","PM37","1",1273.54043496436
"10","AC","1","TANZ","1",2044.77690537143
"11","AC","1","PM38","1",1157.1181856041
"12","AC","1","PM39","1",1443.11410062699
"13","AC","1","PM40","1",2800.42495300009
"14","AC","1","PM41","1",2296.3084870694
"15","AC","1","MASS","1",1509.58198895613
"16","AC","1","PM42","1",1348.88271998254
"17","AC","1","PM43","1",892.470922494891
"18","AC","1","PM44","1",1104.25891279893
"19","AC","1","PM45","1",1920.75854404896
"20","AC","1","MILE","1",1369.55891333662
"21","AC","1","PM46","1",1816.06415391846
"22","AC","1","PM47","1",2052.95647210361
"23","AC","1","ARUA","1",601.896921005546
"24","AC","1","PM39","2",2322.66156109258
"25","AC","1","PM33","2",2012.78030449925
"26","AC","1","PM41","2",2804.3776340401
"27","AC","1","PM37","2",1356.24301552674
"28","AC","1","PM45","2",1714.78630909776
"29","AC","1","PM36","2",1775.73877846381
"30","AC","1","MOMB","2",1987.63886200347
"31","AC","1","PM31","2",1484.92542728197
"32","AC","1","PM47","2",1504.61649581588
"33","AC","1","PM43","2",789.366511541812
"34","AC","1","PM35","2",1658.87046841007
"35","AC","1","PM30","2",802.777426223234
"36","AC","1","PM42","2",1460.14976892799
"37","AC","1","PM38","2",1279.99487909009
"38","AC","1","PM46","2",1735.38545561357
"39","AC","1","TANZ","2",2354.20458595264
"40","AC","1","PM44","2",2145.99101445613
"41","AC","1","PM40","2",2887.81440450334
"42","AC","1","PM32","2",2206.65185647762
"43","AC","1","PM34","2",1923.97236525609
"44","AC","1","MILE","2",1452.13341572587
"45","AC","1","MASS","2",1884.82941664919
"46","AC","1","ARUA","2",993.590277250604
"47","AC","1","PM39","3",1019.72878222604
"48","AC","1","PM35","3",1305.74024724048
"49","AC","1","PM30","3",861.157482582681
"50","AC","1","PM44","3",1313.93550399055
"51","AC","1","PM36","3",1705.11088481851
"52","AC","1","PM31","3",1910.15363441803
"53","AC","1","PM47","3",2163.49979601424
"54","AC","1","PM43","3",1472.34725556793
"55","AC","1","PM38","3",799.521027430486
"56","AC","1","PM40","3",1435.3499995323
"57","AC","1","MASS","3",1111.69326279216
"58","AC","1","PM46","3",1208.87811296789
"59","AC","1","TANZ","3",2182.20209830595
"60","AC","1","MILE","3",937.955327356794
"61","AC","1","PM45","3",1702.12744110982
"62","AC","1","PM32","3",1803.66449982675
"63","AC","1","PM37","3",1274.78269530925
"64","AC","1","PM42","3",1693.91116258157
"65","AC","1","PM33","3",1843.3287339292
"66","AC","1","MOMB","3",2065.22809582801
"67","AC","1","PM34","3",1097.66468133294
"68","AC","1","PM41","3",3441.52514211887
"69","AC","1","ARUA","3",1262.36759604887
"70","AC","2","PM30","1",884.662084590056
"71","AC","2","PM31","1",1055.12560979657
"72","AC","2","PM32","1",1181.3066280846
"73","AC","2","PM33","1",1028.6285803646
"74","AC","2","MOMB","1",1079.16962081669
"75","AC","2","PM34","1",591.429720917187
"76","AC","2","PM35","1",663.795041322314
"77","AC","2","PM36","1",1125.70506463581
"78","AC","2","PM37","1",806.378699358299
"79","AC","2","TANZ","1",801.968321608896
"80","AC","2","PM38","1",648.985112127803
"81","AC","2","PM39","1",630.663524413317
"82","AC","2","PM40","1",974.020095864389
"83","AC","2","PM41","1",1459.58398231412
"84","AC","2","MASS","1",845.747262086095
"85","AC","2","PM42","1",696.221909428977
"86","AC","2","PM43","1",559.255362781892
"87","AC","2","PM44","1",975.386357711478
"88","AC","2","PM45","1",927.941271170069
"89","AC","2","MILE","1",1028.72302301735
"90","AC","2","PM46","1",827.546193192184
"91","AC","2","PM47","1",996.504799926622
"92","AC","2","ARUA","1",327.741066941217
"93","AC","2","PM39","2",1107.68851718309
"94","AC","2","PM33","2",935.872207185692
"95","AC","2","PM41","2",1746.55455282018
"96","AC","2","PM37","2",1014.05757163252
"97","AC","2","PM45","2",1043.01546113093
"98","AC","2","PM36","2",715.5354008207
"99","AC","2","MOMB","2",853.853798587229
"100","AC","2","PM31","2",1197.00231864856
"101","AC","2","PM47","2",929.285112137067
"102","AC","2","PM43","2",669.35116054925
"103","AC","2","PM35","2",838.237483927766
"104","AC","2","PM30","2",747.463623150657
"105","AC","2","PM42","2",1064.11188303256
"106","AC","2","PM38","2",705.109007629285
"107","AC","2","PM46","2",974.872700008493
"108","AC","2","TANZ","2",1340.85417736429
"109","AC","2","PM44","2",1069.65971263168
"110","AC","2","PM40","2",1270.41985645756
"111","AC","2","PM32","2",1344.93590029983
"112","AC","2","PM34","2",666.665574450888
"113","AC","2","MILE","2",861.378596468644
"114","AC","2","MASS","2",1186.78887141857
"115","AC","2","ARUA","2",583.770832071581
"116","AC","2","PM39","3",1204.98084291188
"117","AC","2","PM35","3",793.455889102316
"118","AC","2","PM30","3",497.583071776843
"119","AC","2","PM44","3",976.344240227926
"120","AC","2","PM36","3",918.677273656538
"121","AC","2","PM31","3",1047.08814270724
"122","AC","2","PM47","3",948.022397851843
"123","AC","2","PM43","3",689.579506221238
"124","AC","2","PM38","3",735.955319806878
"125","AC","2","PM40","3",688.106033027766
"126","AC","2","MASS","3",938.90788688053
"127","AC","2","PM46","3",550.064942732318
"128","AC","2","TANZ","3",796.079971515659
"129","AC","2","MILE","3",827.641948375106
"130","AC","2","PM45","3",792.823339636146
"131","AC","2","PM32","3",1177.47758833914
"132","AC","2","PM37","3",867.935476886435
"133","AC","2","PM42","3",837.895611794703
"134","AC","2","PM33","3",773.139401209577
"135","AC","2","MOMB","3",884.461265075457
"136","AC","2","PM34","3",341.105856675155
"137","AC","2","PM41","3",1800.11051723477
"138","AC","2","ARUA","3",439.943210645509
"139","AC","3","PM30","1",776.732523082181
"140","AC","3","PM31","1",968.626068778459
"141","AC","3","PM32","1",1055.6536235141
"142","AC","3","PM33","1",931.236853532908
"143","AC","3","MOMB","1",1434.92553315838
"144","AC","3","PM34","1",848.53681887566
"145","AC","3","PM35","1",566.671204811291
"146","AC","3","PM36","1",1006.36350260705
"147","AC","3","PM37","1",971.130204747503
"148","AC","3","TANZ","1",932.132901077534
"149","AC","3","PM38","1",922.096471276493
"150","AC","3","PM39","1",872.756851453052
"151","AC","3","PM40","1",1022.55420081844
"152","AC","3","PM41","1",1789.43338782238
"153","AC","3","MASS","1",981.821693665191
"154","AC","3","PM42","1",1058.00851501513
"155","AC","3","PM43","1",871.374008541851
"156","AC","3","PM44","1",1022.6474726589
"157","AC","3","PM45","1",980.095431341854
"158","AC","3","MILE","1",1391.4346056275
"159","AC","3","PM46","1",1028.3981840993
"160","AC","3","PM47","1",1360.77321920349
"161","AC","3","ARUA","1",483.395893925212
"162","AC","3","PM39","2",871.615770553442
"163","AC","3","PM33","2",896.289012558957
"164","AC","3","PM41","2",1924.35666763313
"165","AC","3","PM37","2",1121.05121356205
"166","AC","3","PM45","2",1063.54200000994
"167","AC","3","PM36","2",922.225489046925
"168","AC","3","MOMB","2",1079.44781280029
"169","AC","3","PM31","2",1077.16315791085
"170","AC","3","PM47","2",1083.69854999649
"171","AC","3","PM43","2",877.696975715745
"172","AC","3","PM35","2",974.08771632141
"173","AC","3","PM30","2",1538.27880093846
"174","AC","3","PM42","2",1426.79669814145
"175","AC","3","PM38","2",1300.44026062659
"176","AC","3","PM46","2",1133.12224724106
"177","AC","3","TANZ","2",1115.33367968714
"178","AC","3","PM44","2",1088.96502158314
"179","AC","3","PM40","2",1123.92635633164
"180","AC","3","PM32","2",1160.19095595977
"181","AC","3","PM34","2",1004.27688970442
"182","AC","3","MILE","2",935.292368974311
